Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY
شو رأيك نروح نتغدا بشي مطعم بعد الدوام ؟,ماشي بس مبارح بلشت بالدايت لح تنزعلي يا,تيجي نتغدا في اي مطعم بعد الشغل؟,ماشي بس امبارح ابتديت الدايت حتبوظهولي
عم تتمرن هالأيام ؟,أكيد كل يوم بعمل رياضة,بتتمرن اليومين دول؟,اكيد كل يوم بعمل رياضة
فيك تدرس أنت و مدور أغاني ؟,لا ما قيي ببطل أعرف ركز,بتعرف تذاكر و انت مشغل اغاني؟,لا مابعرفش ببطل اعرف اركز
أنت منيح ؟ شو صاير معك ؟,ايه ما فيني شي ما تخاف,انت كويس؟ ايه الي حاصل معاك ؟,ايوة كويس مافياش حاجة متخفش
حلو هالعوينات لي لابسو جايبو جديد ؟,لا قديم كتير ولا مرة شايفو ؟,حلو النضارة الي انت لابسها ديه جايبو جديد؟,لا قديم جدا ولا مرة شفته؟
مرحبا شو عم تقرا ؟,عم بقرا قصة حب قديمة,السلام عليكم بتقرا ايه؟,بقرا قصة حب قديمة
لح يتجوز خيي الأسبوع الجاي !,اووه ألف ألف مبروك انشالله,اخويا حيتجوز الاسبوع الجي!,اووه ألف ألف مبروك انشالله
سمعت أنك اشتريت بيت جديد بالمنطقة عنا,مزبوط بدي انتقل لهون,سمعت أنك اشتريت بيت جديد في المنطقة عندنا,صحيح عايز انقل هنا
شو بيكي لي زعلانة ؟,ولا شي بس حاسي حالي مريضة شوي,مالك زعلانة ليه؟,ولا حاجة حاسس نفسي تعبان شوية
ماشي حلو الموظف الجديد ؟,ايه كلو تمام الزلمي شغيل,شغال تمام الموظف الجديد؟,ايوا كله تمام الراجل بتاع شغل
بتحب الطبخ ولا لأ؟,كتير بلشت اتعلم الطبخ من لما كنت صغير,بتحب الطبخ ولا لأ؟,اوي ابتديت اتعلم الطبخ من لما كنت صغير
في حدا بالبيت ولا كلن ضهروا ؟,امبلا في اأمي بالمطبخ عم تحضر الغدا,في حد في البيت ولا كلهم مشوا؟,ايوة في أمي في المطبخ بتحضر الغدا
مبيين عليك ااخد لون منيح من مشوار البحر,ايه والله قضيت اسبوع كل يوم بالبحر,باين عليك اخد لون كويس من مشوار البحر,ايوة ولله قضيت اسبوع كل يوم في البحر
عجبك العطر الجديد لي حاطو ؟,ايه كتير حلوة ريحتو,عجبتك الريحة الجدبدة الي حاطتها؟,اه ريحته حلوة اوي
لازم كل يوم تركض شوي قبل ما تتروق,طيب لح جرب بس ما بوعدك,لازم تجري شوية كل يوم قبل ما تفطر,طيب حجرب بس ماوعدكش
شفت ستك مبارح عم تكزدر عالطريق,ايه زهقت كتير من قعدة البيت و ضهرت لحالا,شفت ستك امبارح بتتمشي عالطريق,اه ذهقت اوي من قعدت البيت و خرجت لوحدها
بدي سجل مواد الجامعة اليوم,حلو شو لح تاخد مولد هالفصل ؟,عايز اسجل مواد الجامعة النهردة,حلو حتاخد مواد ايه الترم ده ؟
بابا ليه عم تسكر كل الشبابيك ؟,بدا تشتي شتوة قوية بعد شوي,بتقفل كل الشبابيك ليه يبابا؟,حتشتي شتوة قوية بعد شوية
مرحبا أنا أصلي من روسيا,حلو كتير أنا أصلي من اليابان,السلام عليكم انا اصلي من روسيا,حلو اوي انا اصلي من اليابان
كيف ممكن ساعدك أستاذ ؟,عم فتش على ورق لأطبع إمتحانات التلاميذ,اقدر اساعدك اذاي يا استاذ؟,بدور على ورق عشان اطبع إمتحانات الطلبة
خلصت سندويشك تعا خدها,يسلم هالإيدين. حطيتلي فيها كتشب ؟,خلصتلك سندويتشاتك تعالي خدها,تسلم ايدك. حطيتلي فيها كتشب ؟
بتعرفلك شي محل بيتزا قريب و طيب ؟,اي في واحد كتير منيح بهيدا الشارع عاليمين,تعرف محل بيتزا قريب و حلو؟,اه في كويس اوي في الشارع ده عاليمين
معك قداحة ؟,لأ أنا ما بدخن التدخين مضر للصحة بطللي هالعادة,معاك ولاعة؟,لا انا مبدخنش التدخين مضر للصحة بطللي العادة ديه
كنت خايف كتير قبل ما أطلع قدم المشروع,لا بالعكس كنت ممتاز ما في داعي للخوف,كنت خايف اوي قبل ما أطلع اقدم المشروع,لا بالعكس كنت ممتاز مفيش داعي للخوف
بدي عزبك فيك تصورنا بالكاميرا ؟,أكيد ولو. كيف بتحب اخد الصورة ؟,معلش حتعبك معايا ممكن تصورنا بالكاميرا؟,اكيد طبعا. تحب اخدلك الصورة اذاي ؟
بتحب السفر و تروح تعمل سياحة ؟,ايه كل صيفية بسافر لغيير جو شوي,بتحب السفر و تروح تعمل سياحة ؟,اه كل صيف بحب اسافر عشان اغير جو شوية
بيتك كتير صغير ليش ما بتنتقل على بيت أكبر ؟,والله يا ريت بس الوضع المادي مش زيادة,بيتك صغير اوي ليه ماتنقلش على بيت اكبر؟,والله يا ريت بس الوضع المادي مش تمام
لغتك الإنجليزية كتير منيحة,شكرا حبيت هيدي اللغة من أنا و صغير,كلامك في الإنجليزية كويس اوي,شكرا حبيت اللغة ديه من وأنا صغير
تشرب قهوة أو نسكافيه ؟,إذا في نسكافيه بشرب,تشرب قهوة أو نسكافيه ؟,إذا في نسكافيه حشرب
شو بتحب تعمل بأوقات فراغاك,بحب كتير إلعب طاولة مع جدي,بيتحب تعمل ايه في اوقات فراغاك,بحب اوي ألعب طاولة مع جدي
يا زلمي عاش مين شافك وين ما عم تبيين,والله مشغول بالشغل و العيلة,يا عم عاش مين شافك فينك مش ظاهر,والله مشغول بالشغل و العيلة
