Response,Utterance
ماشي بس مبارح بلشت بالدايت لح تنزعلي يا,شو رأيك نروح نتغدا بشي مطعم بعد الدوام ؟
أكيد كل يوم بعمل رياضة,عم تتمرن هالأيام ؟
لا ما قيي ببطل أعرف ركز,فيك تدرس أنت و مدور أغاني ؟
ايه ما فيني شي ما تخاف,أنت منيح ؟ شو صاير معك ؟
لا قديم كتير ولا مرة شايفو ؟,حلو هالعوينات لي لابسو جايبو جديد ؟
عم بقرا قصة حب قديمة,مرحبا شو عم تقرا ؟
اووه ألف ألف مبروك انشالله,لح يتجوز خيي الأسبوع الجاي !
مزبوط بدي انتقل لهون,سمعت أنك اشتريت بيت جديد بالمنطقة عنا
ولا شي بس حاسي حالي مريضة شوي,شو بيكي لي زعلانة ؟
ايه كلو تمام الزلمي شغيل,ماشي حلو الموظف الجديد ؟
كتير بلشت اتعلم الطبخ من لما كنت صغير,بتحب الطبخ ولا لأ؟
امبلا في اأمي بالمطبخ عم تحضر الغدا,في حدا بالبيت ولا كلن ضهروا ؟
ايه والله قضيت اسبوع كل يوم بالبحر,مبيين عليك ااخد لون منيح من مشوار البحر
ايه كتير حلوة ريحتو,عجبك العطر الجديد لي حاطو ؟
طيب لح جرب بس ما بوعدك,لازم كل يوم تركض شوي قبل ما تتروق
ايه زهقت كتير من قعدة البيت و ضهرت لحالا,شفت ستك مبارح عم تكزدر عالطريق
حلو شو لح تاخد مولد هالفصل ؟,بدي سجل مواد الجامعة اليوم
بدا تشتي شتوة قوية بعد شوي,بابا ليه عم تسكر كل الشبابيك ؟
حلو كتير أنا أصلي من اليابان,مرحبا أنا أصلي من روسيا
عم فتش على ورق لأطبع إمتحانات التلاميذ,كيف ممكن ساعدك أستاذ ؟
يسلم هالإيدين. حطيتلي فيها كتشب ؟,خلصت سندويشك تعا خدها
اي في واحد كتير منيح بهيدا الشارع عاليمين,بتعرفلك شي محل بيتزا  قريب و طيب ؟
لأ أنا ما بدخن التدخين مضر للصحة بطللي هالعادة,معك قداحة ؟
لا بالعكس كنت ممتاز ما في داعي للخوف,كنت خايف كتير قبل ما أطلع قدم المشروع
أكيد ولو. كيف بتحب اخد الصورة ؟,بدي عزبك فيك تصورنا بالكاميرا ؟
ايه كل صيفية بسافر لغيير جو شوي,بتحب السفر و تروح تعمل سياحة ؟
والله يا ريت بس الوضع المادي مش زيادة,بيتك كتير صغير ليش ما بتنتقل على بيت أكبر ؟
شكرا حبيت هيدي اللغة من أنا و صغير,لغتك الإنجليزية كتير منيحة
إذا في نسكلفيه بشرب,تشرب قهوة أو نسكافيه ؟
بحب كتير إلعب طاولة مع جدي,شو بتحب تعمل بأوقات فراغاك
والله مشغول بالشغل و العيلة,يا زلمي عاش مين شافك وين ما عم تبيين
بحب لعبة الفتبول و الباسكت,عندك شي هوايات بتحب تمارسا ؟
شكلو مريض حرام,وينو الأستاذ ما إجا عالمحاضرة اليوم
ولا شي أخدت عطلة من الشغل. بدك نروح مشوار ؟,شو عندك نهار الجمعة ؟
رايح أتغدا مع رفقاتي و نحضر فيلم,شو لح تعمل على عيد ميلادك ؟
ايه ممكن بس ورجيني بطاقتك لو سمحت,ممكن أبدل هيدا الكتاب ؟ 
ايه بعدني بس يمكن أنتقل قريبا,بعدك عايش مع أمك و أبوك ؟
مش عارف بس شكلي لح غررب,وجك مصفر كتير اليوم شو صاير معك ؟
فكرة حلوة بركي بتتنشط شوي,اليوم كتير كان بتععب بدي روح اشرب عصير
ما بعرف ما معي ساعة ,بدي عزبك بس قدي الساعة ؟
خدا عند المصلح بظبتلك ياها,وقعت مني الساعة مبارح و بطلت تمشي
لا ولله انفقدت شجرة العيلة,بتعرف شي مين هني أجدادك ؟
يا ريت بس عندي شغل بدي خلصو ضروري,رايح كزدر على الشط بعد ساعة بتحبي تجي معي ؟
مشوار حلو الصراحة انبسطت كتير,قالولي رحت على التلج من يومين كيف كانت ؟
بكرا رايح بس خلص جامعة,رحت شي عند الحكيم ؟
لأ خير شو في شو صاير ؟,سمعت شي بالأخبار ؟
